"ID","Url","Domain","Infos","Status","Status-txt","X","Y","Degree-2018","Degree","Creation","Last-update","Last-url","First-social","Note-first-social","Url-first-social","Pseudo","Mentions","Blog-users","Stable-users","Death-url","Prev-url","X-prev","Y-prev","Note-prev","Note-prev-url","Post-url","Note-post","Creation-post-url","Fb","Fb-countries","Follow-fb","Creation-fb","Degree-fb","X-fb","Y-fb","Tw","Tw-countries","Follow-tw","Creation-tw","Degree-tw","X-tw","Y-tw","Yt","Degree-yt","X-yt","Y-yt","Md","Degree-md","X-md","Y-md","Fk","Degree-fk","X-fk","Y-fk"
31,"http://mohblog.blogspot.com/","mohblog.blogspot.com",,1,"not updated",147,438,5,6,2005,2014,"http://mohblog.blogspot.com/","NA","NA","NA","moh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
32,"http://marouki.joeuser.com/","marouki.joeuser.com",,1,"not updated",367,504,3,3,2005,2008,"http://marouki.joeuser.com/","NA","NA","NA","marouki","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
33,"http://lesamismarocains.blogspot.com/","lesamismarocains.blogspot.com",,1,"not updated",358,52,3,3,2007,2009,"http://lesamismarocains.blogspot.com/","NA","NA","NA","mohammed benmouh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.facebook.com/mohammed.benmouh ","NA",118,2011,30,358,30,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
34,"http://labelash.blogspot.com/","labelash.blogspot.com",,1,"not updated",263,415,12,18,2005,2010,"http://labelash.blogspot.com/","NA","NA","NA","amine","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.youtube.com/user/labelash ",30,263,385,"NA","NA","NA","NA","NA","NA","NA","NA"
35,"http://kugelschreiber.canalblog.com/","kugelschreiber.canalblog.com",,1,"not updated",30,491,5,7,2006,2013,"http://kugelschreiber.canalblog.com/","NA","NA","NA","kugelschreiber","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
36,"http://klamia.canalblog.com/","klamia.canalblog.com",,1,"not updated",76,451,5,5,2005,2014,"http://klamia.canalblog.com/","NA","NA","NA","falas123","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
37,"http://karlamassini.blogspot.com/","karlamassini.blogspot.com",,1,"not updated",316,589,5,9,2006,2011,"http://karlamassini.blogspot.com/","NA","NA","NA","onassis","NA","NA","NA","NA","https://web.archive.org/web/20051227085406/http://karlamassini.monblogue.com:80/",-30,570,"† May 2006","mort en 2006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
38,"http://kalima.hautetfort.com/","kalima.hautetfort.com",,1,"not updated",184,552,5,5,2005,2014,"http://kalima.hautetfort.com/","NA","NA","NA","kalima","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
39,"http://enmarruecos.blogspot.com/","enmarruecos.blogspot.com",,1,"not updated",145,277,3,3,2008,2008,"http://enmarruecos.blogspot.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
40,"http://boubouh.over-blog.com/","boubouh.over-blog.com",,1,"not updated",208,7,3,3,2006,2013,"http://boubouh.over-blog.com/","NA","NA","NA","boubouh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
41,"http://badrryadi.centerblog.net/","badrryadi.centerblog.net",,1,"not updated",247,343,3,3,2007,2013,"http://badrryadi.centerblog.net/","NA","NA","NA","badrryadi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
42,"http://al9adiya7amda.blogspot.com/","al9adiya7amda.blogspot.com",,1,"not updated",330,547,4,4,2008,2009,"http://al9adiya7amda.blogspot.com/","NA","NA","NA","sarah ben","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
43,"http://9afia.blogspot.com/","9afia.blogspot.com",,1,"not updated",94,502,5,8,2006,2015,"http://9afia.blogspot.com/","NA","NA","NA","9afia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/9afia ","None:30;Morocco:38;Misc:26",94,2009,30,94,480,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
44,"http://emigrant.canalblog.com/","emigrant.canalblog.com",,1,"not updated",127,285,3,3,2004,2006,"http://emigrant.canalblog.com/","NA","NA","NA","zaccharias","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
45,"http://www.eatbees.com/blog/","eatbees.com/blog",,1,"not updated",298,385,15,21,2006,2016,"http://www.eatbees.com/blog/","NA","NA","NA","eatbees","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/eatbees","None:52;United-States:68;Misc:30",150,2008,30,298,350,"https://www.youtube.com/channel/UCkf8rlO4y79UC3Mpsu8P53Q",30,333,350,"https://medium.com/@eatbees ",30,298,315,"NA","NA","NA","NA"
46,"http://mlouizi.unblog.fr/","mlouizi.unblog.fr",,2,"alive",261,60,3,3,2007,2018,"http://mlouizi.unblog.fr/","NA","NA","NA","mlouizi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.facebook.com/mohamed.louizi ","NA",3087,2009,33,261,84,"https://twitter.com/mohamedlouizi ","None:683;France:575;United-States:31;Belgium:19;Morocco:18;Misc:128",1454,2014,33,225,84,"NA","NA","NA","NA","https://blogs.mediapart.fr/mohamed-louizi/blog",30,296,86,"NA","NA","NA","NA"
47,"http://lailalalami.com/","lailalalami.com",,2,"alive",374,422,5,9,2001,2018,"http://lailalalami.com/",2011,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.facebook.com/LailaLalamiAuthor ","Morocco:1292;United-States:824;Pakistan:469;Indonesia:371;India:354;Bangladesh:146;Nigeria:133;Algeria:129;Misc:1378",5449,2009,37,374,392,"https://twitter.com/LailaLalami ","None:6465;United-States:6135;United-Kingdom:847;Canada:490;India:447;Morocco:391;Pakistan:342;France:259;Misc:2624",35700,2009,53,423,384,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
48,"http://blogreda.blogspot.com/","blogreda.blogspot.com",,2,"alive",265,460,14,18,2005,2018,"http://blogreda.blogspot.com/","NA","NA","NA","reda_","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://twitter.com/reda_ ","None:3765;Morocco:2106;France:265;United-States:176;Canada:100;Misc:620",7032,2011,42,265,499,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
